City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,belaya gora,68.5333,146.4167,-34.31,100,99,4.05,RU,1675543742
132,pangnirtung,66.1451,-65.7125,-34.6,67,0,0.0,CA,1675543743
133,jalu,29.0331,21.5482,55.33,50,100,4.63,LY,1675543744
134,forestville,38.8451,-76.875,33.33,32,0,13.8,US,1675543485
135,ayan,56.45,138.1667,-9.69,88,85,5.39,RU,1675543747
136,dhadar,28.3305,75.0632,65.37,28,0,5.7,IN,1675543749
137,maragogi,-9.0122,-35.2225,79.59,78,43,8.03,BR,1675543750
138,kodiak,57.79,-152.4072,24.31,86,0,5.75,US,1675543756
139,vila franca do campo,37.7167,-25.4333,57.61,84,4,6.55,PT,1675543611
140,kaohsiung,22.6163,120.3133,66.15,83,75,4.61,TW,1675543579
141,orbetello,42.4408,11.2196,48.22,76,0,6.98,IT,1675543762
142,shimoda,34.6667,138.95,45.14,69,33,10.47,JP,1675543768
143,kirillov,59.863,38.3813,20.71,96,98,5.91,RU,1675543772
144,hasaki,35.7333,140.8333,37.22,57,3,17.29,JP,1675543773
145,los llanos de aridane,28.6585,-17.9182,58.75,68,75,8.05,ES,1675543774
146,dolinsk,47.35,142.8,-3.8,91,24,5.03,RU,1675543774
147,port augusta,-32.5,137.7667,62.73,57,2,5.14,AU,1675543775
148,amapa,1.0,-52.0,72.18,99,100,4.52,BR,1675543775
149,oga,46.4631,10.347,29.08,96,83,8.08,IT,1675543776
150,pascagoula,30.3658,-88.5561,64.42,44,0,8.05,US,1675543776
151,lavrentiya,65.5833,-171.0,-13.27,94,94,6.91,RU,1675543777
152,georgetown,5.4112,100.3354,78.73,83,20,6.91,MY,1675543575
153,lamas,-6.4167,-76.5333,82.87,51,100,4.18,PE,1675543777
154,garchitorena,13.8804,123.6946,75.72,89,99,12.01,PH,1675543778
155,maniitsoq,65.4167,-52.9,1.51,81,10,16.15,GL,1675543778
156,tiksi,71.6872,128.8694,-15.66,100,100,4.43,RU,1675543779
157,bethel,41.3712,-73.414,18.93,35,75,8.05,US,1675543603
158,arraial do cabo,-22.9661,-42.0278,89.56,62,0,11.5,BR,1675543780
159,taksimo,56.3444,114.8794,-5.67,91,100,2.33,RU,1675543781
160,bordighera,43.7806,7.6645,56.61,92,5,3.0,IT,1675543781
161,katsuura,35.1333,140.3,43.9,68,4,12.59,JP,1675543781
162,qasigiannguit,68.8193,-51.1922,-1.95,99,99,7.2,GL,1675543782
163,uray,60.1247,64.7758,0.21,99,99,3.98,RU,1675543783
164,castro,-24.7911,-50.0119,68.34,91,73,7.72,BR,1675543784
165,hobyo,5.3505,48.5268,75.24,72,63,15.79,SO,1675543784
166,pacific grove,36.6177,-121.9166,62.65,84,20,18.01,US,1675543540
167,paita,-5.0892,-81.1144,79.23,64,95,14.47,PE,1675543785
168,westport,41.1415,-73.3579,21.88,31,40,7.0,US,1675543632
169,najran,17.4924,44.1277,65.05,48,57,2.75,SA,1675543785
170,kieta,-6.2167,155.6333,79.03,84,100,3.09,PG,1675543786
171,belgrade,44.804,20.4651,33.46,63,0,19.57,RS,1675543621
172,locri,38.2414,16.2623,49.32,87,48,8.68,IT,1675543787
173,turukhansk,65.8167,87.9833,5.85,97,96,5.44,RU,1675543787
174,ishim,56.1128,69.4902,0.18,100,99,2.51,RU,1675543788
175,tara,56.8944,74.371,2.19,100,100,1.32,RU,1675543788
176,mount darwin,-16.7725,31.5838,69.6,89,100,1.9,ZW,1675543789
177,ust-nera,64.5667,143.2,-30.15,100,100,1.83,RU,1675543506
178,cairns,-16.9167,145.7667,80.06,97,75,8.05,AU,1675543790
179,lagoa,39.05,-27.9833,59.14,87,3,17.6,PT,1675543791
180,pasighat,28.0667,95.3333,60.6,35,65,3.15,IN,1675543792
181,cootamundra,-34.65,148.0333,53.94,62,0,3.6,AU,1675543793
182,caconda,-13.7333,15.0667,63.37,81,100,2.8,AO,1675543793
183,klaksvik,62.2266,-6.589,40.12,64,32,31.12,FO,1675543794
184,hede,33.7681,120.2517,33.12,80,68,5.26,CN,1675543794
185,saint-philippe,-21.3585,55.7679,78.39,86,99,10.16,RE,1675543795
186,iquitos,-3.7481,-73.2472,80.64,78,75,8.05,PE,1675543795
187,ndele,8.4109,20.6473,77.36,16,42,5.3,CF,1675543796
188,gladstone,-23.85,151.25,80.53,83,100,5.75,AU,1675543796
189,guerrero negro,27.9769,-114.0611,69.91,34,0,10.51,MX,1675543591
190,clyde river,70.4692,-68.5914,-19.97,52,75,6.91,CA,1675543797
191,gorontalo,0.5412,123.0595,74.53,90,100,3.04,ID,1675543797
192,mongui,5.7215,-72.8491,59.92,42,44,7.43,CO,1675543798
193,vardo,70.3705,31.1107,15.78,73,40,11.5,NO,1675543798
194,coihaique,-45.5752,-72.0662,85.95,26,20,5.75,CL,1675543659
195,saint-leu,-21.15,55.2833,77.86,80,100,2.55,RE,1675543799
196,katobu,-4.9408,122.5276,74.39,93,100,3.4,ID,1675543799
197,dubrovka,53.6907,33.5071,25.27,97,100,8.28,RU,1675543800
198,tabou,4.423,-7.3528,79.36,85,4,7.67,CI,1675543800
199,alofi,-19.0595,-169.9187,82.29,78,100,6.91,NU,1675543801
200,new norfolk,-42.7826,147.0587,56.91,67,15,3.87,AU,1675543801
201,manthani,18.65,79.6667,66.69,23,2,3.69,IN,1675543804
202,zaraza,9.3503,-65.3245,85.14,51,91,8.3,VE,1675543805
203,abu dhabi,24.4667,54.3667,66.31,77,0,3.44,AE,1675543549
204,balkanabat,39.5108,54.3671,41.76,64,97,2.8,TM,1675543812
205,kuvshinovo,57.0295,34.1725,15.06,98,98,3.67,RU,1675543814
206,camacha,33.0833,-16.3333,58.42,67,40,16.11,PT,1675543817
207,adelaide,-34.9333,138.6,59.85,80,40,6.91,AU,1675543577
208,cap malheureux,-19.9842,57.6142,79.47,79,98,1.01,MU,1675543824
209,mahibadhoo,3.7833,72.9667,80.08,73,74,5.12,MV,1675543833
210,hualmay,-11.0964,-77.6139,75.65,73,93,8.68,PE,1675543833
211,mineros,-17.1167,-63.2333,73.15,92,100,3.27,BO,1675543834
212,meulaboh,4.1363,96.1285,74.98,88,97,3.6,ID,1675543834
213,laguna,38.421,-121.4238,65.17,61,100,11.5,US,1675543835
214,norman wells,65.282,-126.8329,-14.76,64,75,3.44,CA,1675543835
215,sawakin,19.1059,37.3321,72.25,68,58,9.69,SD,1675543836
216,oranjestad,12.524,-70.027,82.9,76,75,23.02,AW,1675543615
217,faya,18.3851,42.4509,53.71,64,75,0.25,SA,1675543836
218,langarud,37.197,50.1535,48.92,67,98,5.5,IR,1675543837
219,kanker,20.2719,81.4931,57.85,24,59,2.42,IN,1675543838
220,topeka,39.0483,-95.678,54.79,50,0,20.71,US,1675543736
221,quang ngai,15.1167,108.8,70.3,89,58,3.87,VN,1675543839
222,semnan,35.5729,53.3971,36.03,48,2,3.71,IR,1675543839
223,deputatskiy,69.3,139.9,-31.52,99,96,3.65,RU,1675543839
224,berdigestyakh,62.0989,126.6992,-28.95,100,100,2.33,RU,1675543840
225,srednekolymsk,67.45,153.6833,-32.01,100,100,3.02,RU,1675543840
226,boa vista,2.8197,-60.6733,85.98,58,40,4.61,BR,1675543841
227,beringovskiy,63.05,179.3167,-21.21,90,38,14.32,RU,1675543841
228,moerai,-22.4333,-151.3333,79.97,77,4,15.26,PF,1675543842
229,bengkulu,-3.8004,102.2655,73.83,90,100,4.09,ID,1675543776
230,acarau,-2.8856,-40.12,80.04,80,55,16.24,BR,1675543843
231,atchison,39.563,-95.1216,53.94,45,100,19.77,US,1675543680
232,marsh harbour,26.5412,-77.0636,71.11,78,98,27.87,BS,1675543693
233,shahe,39.2708,113.5478,25.0,31,3,5.37,CN,1675543844
234,turkan,40.3639,50.215,39.38,93,0,6.91,AZ,1675543844
235,rocha,-34.4833,-54.3333,66.6,92,68,16.55,UY,1675543844
236,itarema,-2.9248,-39.9167,79.75,80,45,14.88,BR,1675543772
237,ascension,30.2169,-90.9001,63.09,44,0,3.44,US,1675543845
238,sitka,57.0531,-135.33,35.49,87,100,3.44,US,1675543846
239,oktyabrskiy,54.4815,53.471,9.46,95,100,1.88,RU,1675543827
240,zinder,13.8072,8.9881,75.79,16,100,9.62,NE,1675543847
241,emerald,-23.5333,148.1667,74.34,48,98,13.47,AU,1675543806
242,delta del tigre,-34.7633,-56.3853,77.11,60,75,17.27,UY,1675543848
243,mar del plata,-38.0023,-57.5575,71.94,66,0,14.97,AR,1675543807
244,buala,-8.145,159.5921,79.81,85,100,6.2,SB,1675543600
